Date,Location,Risk_Level,Population,Infrastructure_Status,Weather_Condition,Emergency_Resources
2024-01-01,City A,Low,50000,Stable,Clear,Available
2024-01-02,City A,Medium,50000,Deteriorating,Cloudy,Available
2024-01-03,City A,High,50000,Critical,Stormy,Strained
2024-01-04,City A,Extreme,50000,Critical,Stormy,Overwhelmed
2024-01-05,City A,High,50000,Critical,Cloudy,Strained
2024-01-06,City A,Medium,50000,Deteriorating,Clear,Available
2024-01-07,City A,Low,50000,Stable,Clear,Available
2024-01-08,City B,Low,75000,Stable,Clear,Available
2024-01-09,City B,Medium,75000,Deteriorating,Cloudy,Available
2024-01-10,City B,High,75000,Critical,Stormy,Strained
2024-01-11,City B,Extreme,75000,Critical,Stormy,Overwhelmed
2024-01-12,City B,High,75000,Critical,Cloudy,Strained
2024-01-13,City B,Medium,75000,Deteriorating,Clear,Available
2024-01-14,City B,Low,75000,Stable,Clear,Available
2024-01-15,City C,Low,30000,Stable,Clear,Available
2024-01-16,City C,Low,30000,Stable,Clear,Available
2024-01-17,City C,Medium,30000,Deteriorating,Cloudy,Available
2024-01-18,City C,High,30000,Critical,Stormy,Strained
2024-01-19,City C,Extreme,30000,Critical,Stormy,Overwhelmed
2024-01-20,City C,High,30000,Critical,Cloudy,Strained
2024-01-21,City C,Medium,30000,Deteriorating,Clear,Available
2024-01-22,City C,Low,30000,Stable,Clear,Available
2024-01-23,City A,Low,50000,Stable,Clear,Available
2024-01-24,City A,Low,50000,Stable,Clear,Available
2024-01-25,City A,Medium,50000,Deteriorating,Cloudy,Available
2024-01-26,City A,High,50000,Critical,Stormy,Strained
2024-01-27,City A,Extreme,50000,Critical,Stormy,Overwhelmed
2024-01-28,City A,High,50000,Critical,Cloudy,Strained
2024-01-29,City A,Medium,50000,Deteriorating,Clear,Available
2024-01-30,City A,Low,50000,Stable,Clear,Available
